Control,State,County,Type,Type,Date,Post Data,Parcels
7711,AK,Alder View Subdivision,Deed,OTC,N/A,3/13/2014,59
5658,AK,Clark Bay Terminal Subdivision – Hollis,Deed,n/a,10/25/2013,9/11/2013,1
5659,AK,Edna Bay Subdivision – Edna Bay,Deed,n/a,10/25/2013,9/11/2013,1
4886,AK,Fairbanks North Star Borough,Deed,n/a,8/12/2013,7/16/2013,41
9294,AK,Fairbanks North Star Borough,Deed,n/a,8/11/2014,8/1/2014,51
12603,AK,Fairbanks North Star Borough,Deed,n/a,8/15/2015,8/4/2015,63
5660,AK,Falls Creek Subdivision – Petersburg,Deed,n/a,10/25/2013,9/11/2013,1
14135,AK,Greely Subdivision,Deed,n/a,3/25/2016,2/2/2016,1
7712,AK,Hewitt Lakes I Subdivision,Deed,OTC,N/A,3/13/2014,97
7774,AK,Hewitt Whiskey Lakes Ii Subdiv,Deed,OTC,N/A,3/19/2014,79
7775,AK,High Mountain Lakes Subdivisio,Deed,OTC,N/A,3/19/2014,44
7713,AK,High Mountain Lakes Subdivisio,Deed,Special Discount Auction,5/7/2014,3/13/2014,52
7714,AK,Kahiltna Flats Subdivision,Deed,Special Discount Auction,5/7/2014,3/13/2014,208
7715,AK,Kutna Creek Subdivision,Deed,Special Discount Auction,5/7/2014,3/13/2014,89
14136,AK,Little Harding Lake Subdivisio,Deed,n/a,3/25/2016,2/2/2016,2
14137,AK,Meyers Chuck Subdivision,Deed,n/a,3/25/2016,2/2/2016,2
5661,AK,Meyers Chuck Subdivision – Borough Of Wrangell,Deed,n/a,10/25/2013,9/11/2013,5
5662,AK,Middle Island Subdivision – Borough Of Sitka,Deed,n/a,10/25/2013,9/11/2013,1
11159,AK,Municipality Of Anchorage,Deed,n/a,4/15/2015,3/11/2015,11
7638,AK,Municipality Of Anchorage – Anchorage,Deed,n/a,4/16/2014,3/6/2014,19
14422,AK,Municipality Of Anchorage – Anchorage,Deed,n/a,4/13/2016,3/9/2016,17
