state,county,cid,pop,land
AL,Autauga,01001,91,594
AL,Baldwin,01003,114,1590
AL,Barbour,01005,31,885
AL,Bibb,01007,36,623
AL,Blount,01009,88,645
AL,Bullock,01011,17,623
AL,Butler,01013,27,777
AL,Calhoun,01015,195,606
AL,Chambers,01017,57,597
AL,Cherokee,01019,46,554
AL,Chilton,01021,63,693
AL,Choctaw,01023,15,914
AL,Clarke,01025,20,1238
AL,Clay,01027,23,604
AL,Cleburne,01029,26,560
AL,Coffee,01031,73,679
AL,Colbert,01033,91,593
AL,Conecuh,01035,15,850
AL,Coosa,01037,17,651
AL,Covington,01039,36,1030
AL,Crenshaw,01041,22,609
AL,Cullman,01043,109,735
AL,Dale,01045,89,561
AL,Dallas,01047,44,979
AL,DeKalb,01049,91,777
AL,Elmore,01051,128,618
AL,Escambia,01053,40,945
AL,Etowah,01055,195,535
AL,Fayette,01057,27,628
AL,Franklin,01059,50,634
AL,Geneva,01061,46,574
AL,Greene,01063,14,647
AL,Hale,01065,24,644
AL,Henry,01067,30,562
AL,Houston,01069,175,580
AL,Jackson,01071,49,1078
AL,Jefferson,01073,592,1111
AL,Lamar,01075,24,605
AL,Lauderdale,01077,138,668
AL,Lawrence,01079,49,691
AL,Lee,01081,230,608
AL,Limestone,01083,147,560
AL,Lowndes,01085,15,716
AL,Macon,01087,35,609
AL,Madison,01089,417,802
AL,Marengo,01091,21,977
AL,Marion,01093,41,742
AL,Marshall,01095,164,566
AL,Mobile,01097,335,1229
AL,Monroe,01099,22,1026
AL,Montgomery,01101,292,784
AL,Morgan,01103,206,579
AL,Perry,01105,14,720
AL,Pickens,01107,22,881
AL,Pike,01109,48,672
AL,Randolph,01111,39,581
AL,Russell,01113,82,641
AL,St. Clair,01115,132,632
AL,Shelby,01117,248,785
AL,Sumter,01119,15,904
AL,Talladega,01121,111,737
AL,Tallapoosa,01123,58,717
AL,Tuscaloosa,01125,147,1322
AL,Walker,01127,84,791
AL,Washington,01129,16,1080
AL,Wilcox,01131,13,889
AL,Winston,01133,39,613
AK,"Aleutians East Borough, Alaska",02013,0,6982
AK,"Aleutians West Census Area, Alaska",02016,1,4390
AK,"Anchorage Municipality, Alaska (County)",02020,171,1705
AK,"Bethel Census Area, Alaska",02050,0,40570
AK,"Bristol Bay Borough, Alaska",02060,2,504
AK,"Denali Borough, Alaska",02068,0,12751
AK,"Dillingham Census Area, Alaska",02070,0,18569
AK,"Fairbanks North Star Borough, Alaska",02090,13,7338
AK,"Haines Borough, Alaska",02100,1,2319
AK,"Hoonah-Angoon Census Area, Alaska",02105,0,7525
AK,"Juneau City and Borough, Alaska (County)",02110,11,2702
AK,"Kenai Peninsula Borough, Alaska",02122,3,16075
AK,"Ketchikan Gateway Borough, Alaska",02130,2,4858
AK,"Kodiak Island Borough, Alaska",02150,2,6550
AK,"Kusilvak Census Area, Alaska",02158,0,17081
AK,"Lake and Peninsula Borough, Alaska",02164,0,23652
AK,"Matanuska-Susitna Borough, Alaska",02170,3,24608
AK,"Nome Census Area, Alaska",02180,0,22962
AK,"North Slope Borough, Alaska",02185,0,88695
AK,"Northwest Arctic Borough, Alaska",02188,0,35573
AK,"Petersburg Borough, Alaska",02195,1,3282
AK,"Prince of Wales-Hyder Census Area, Alaska",02198,1,3923
AK,"Sitka City and Borough, Alaska (County)",02220,3,2870
AK,"Skagway Municipality, Alaska",02230,2,452
AK,"Southeast Fairbanks Census Area, Alaska",02240,0,24769
AK,"Valdez-Cordova Census Area, Alaska",02261,0,34240
AK,"Wrangell City and Borough, Alaska",02275,0,2541
AK,"Yakutat City and Borough, Alaska",02282,0,7649
AZ,Apache,04001,6.4,11198
AZ,Cochise,04003,21.3,6166
AZ,Coconino,04005,7.2,18619
AZ,Gila,04007,11.3,4758
AZ,Graham,04009,8.1,4623
AZ,Greenlee,04011,4.6,1843
AZ,La Paz,04012,4.6,4500
AZ,Maricopa,04013,414.9,9200
AZ,Mohave,04015,15,13311
AZ,Navajo,04017,10.8,9950
AZ,Pima,04019,106.7,9187
AZ,Pinal,04021,70,5366
